COSC1436,1212121,Ahmed,Isra,84,B,5,3.5 4 5 5 2.5 3 5 3.5 2.5 3 5 4.5 5 4.5,8.5 9 10 10 6.5 7.5 8 9.75 10 10,30 22.5 25 22.5 25.75 30 22.5,65.5,20,20,78.5 80.75 78.75
COSC1436,1313131,Ahmed,Jawad,90.9375,A,5,2.5 3 4.5 5 2.75 3 4 5 5 2.5 5 4.5 3.5 5,7.5 8.25 7 8.5 9 10 9.25 7.5 8.75 10,30 28.5 25.75 27.5 28.5 30 30,72.5,20,20,90.5 88.75 89.5
COSC1436,1414141,Akoi,Adje,71.5313,C,4,3.25 2 3 4 5 2.75 3 4 2.5 3 4 5 2 3,6.5 5 7.5 8 6.5 7 8.5 10 9 5,22.5 21.5 15 22.5 22.75 20 20,55,20,16,72.5 66.5 74.5
COSC1436,1515151,Cao,Toan,82.5,B,5,2.5 3 4 5 3.5 44 3.5 5 2.5 3 4 2 2.5 4,7.5 5.5 8 10 5 6.5 7 8.5 9 7.5,22.5 27 25.5 22.5 24 28 22.5,25,20,20,88 77 90
COSC1436,1616161,Coronado,Maria,75.4063,C,4,3 2 4.5 5 3 4 5 2.5 4.5 3 2 3.5 4 5,7.5 7 8 8.75 7 8 9.5 10 7 8,22 21.5 24 27 22 21.75 23,55,20,12,66.5 70 82.75
COSC1436,1717171,Goins,Aaron,80,B,5,3 4 4 5 5 2.5 2 4 5 2.5 4 5 4 2,7.5 6 7 8 5.5 6.5 7 8 7.75 8,22 25.5 23 24 25.5 28 22.5,55,20,20,78.5 88 79.75
COSC1436,1818181,Harpole,Joshua,15.8438,F,5,4 5 3.5 4 5 5 2.5 4 3 5 2.75 4 5 5,8.5 9 10 10 8 9.5 9 0 0 0,0 0 0 0 0 0 0,0,0,0,0 0 0
COSC1436,1818181,Harpole,Joshua,86.9688,B,5,4 5 5 4.5 3 5 3.25 3 4 5 5 5 5 5,7.5 8 9 10 10 9.5 8 9 10 10,30 28.5 25 24.75 30 30 28,68.5,20,12,78.75 80 82.5
COSC1436,1919191,Hossain,Alamin,75.4375,C,4,3 3 2 4 2.5 2.5 4 3 5 4.5 2 3 4 5,7 5.75 6.5 8 7 5 7.75 7 8 6.5,22 23.5 20.5 23 25.5 23 25,55.5,75,72.5,78 20 20
COSC1436,1121212,Ibarra,Eduardo,68.6875,D,3,2 2.5 3 4 2 2.5 3 2.5 3 2 3 4 3.5 4,5.5 7.5 5.75 6 5.5 7.5 7 6.5 7 8,22.5 15.75 20 21 22 21.5 20,50.5,20,18,65.5 70 72.5
COSC1436,1131313,Ibe,Paul,97.0625,A,5,5 5 5 5 4.5 5 5 5 44 3.5 4 4 5 5,8 9 10 10 10 9 8.5 10 10 10,30 28.5 29 30 30 28 25.5,68,20,20,80.5 90 92.5
COSC1436,1141414,Kolbye,Kurt,84.2188,B,5,5 5 4 3 2.5 3 4 5 5 5 4.5 5 5 5,8 10 9.5 9 10 10 6.5 7.5 8.75 10,25.5 24 28 22.5 24 23.75 22.5,75,20,20,66.5 78.75 88
COSC1436,1151515,Krang,Hay,95.5,A,5,5 5 5 4.5 5 5 5 5 5 5 5 5 5 5,10 10 9.5 10 10 7.5 8 10 9 10,30 30 29.5 28 25.5 30 28,78,20,20,88.5 90 98
COSC1436,1161616,Martinez,Jorge,72.0437,C,5,4 3 4 2.5 3 4 5 2.5 2 3 0 2.5 4 5,7.5 6 5.5 7 10 10 7.6 7 6.5 10,22.5 0 25.5 22.5 22 23.75 20,55.5,20,20,75.5 65 77.5
COSC1436,1171717,Moncrief,Alicia,90.9375,A,5,5 5 5 5 4 5 4 4 5 5 4 3 4 5,10 10 9.5 7.5 8 9 10 10 10 10,30 30 28 27.5 28 30 25.5,68.5,20,20,77.5 88 92.5
